Testing recent mode:

--- Mercari URL (recent): https://jp.mercari.com/search?keyword=EX-ZR1800&status=on_sale&sort=created_time&order=desc ---
Total raw items on page: 48
Item: ¥ 35,800 【美品】 CASIO カシオ EXILIM EX-ZR1800GD ゴールド JS129-02396 | URL: https://jp.mercari.com/shops/product/2JVVL6FwnZFBrqf58bR9TN
Item: ¥ 28,870 カシオ CASIO EXILIM EX-ZR1800 18X バッテリー付属 同梱無料 #ks855 | URL: https://jp.mercari.com/shops/product/2JTyntsG4VviQFbtyC5mGu
Item: ¥ 37,200 【美品】CASIO EXILIM EX-ZR1800 本体・全付属品・ケース | URL: https://jp.mercari.com/item/m59428227002
Item: ¥ 2,280 【メーカー入荷品】 カシオ NP-130A カメラ用 リチウムイオン電池 | URL: https://jp.mercari.com/shops/product/w2y4SdmEf2FGvR6mkNT24X
Item: ¥ 1,040 BC-130L / NP-130 CASIO カシオ 互換USB充電器 | URL: https://jp.mercari.com/shops/product/u7yKp5TxJoZpe2tKnvcLh5
Item: ¥ 2,280 【メーカー入荷品】 CASIO NP-130A カメラ用 リチウムイオン電池 | URL: https://jp.mercari.com/shops/product/6aNew6ontgN9KZoo3kUAWM
Item: ¥ 35,990 ✅動作確認済 美品 CASIO EXILIM EX-ZR1800 ゴールド#44 | URL: https://jp.mercari.com/item/m44871226944
Item: ¥ 4,380 メーカー入荷品 カシオ NP-130A カメラ用 リチウムイオン電池 2個 | URL: https://jp.mercari.com/shops/product/Kw4SzJ87g3dQrHLZnZPdbP
Item: ¥ 98,700 ！希少限定品！《新品・未使用》CASIO EXILIM EX-ZR1800 | URL: https://jp.mercari.com/item/m20204802613
Item: ¥ 26,999 CASIO EXILIM EX-ZR1800 デジタルカメラ　※訳あり | URL: https://jp.mercari.com/item/m34094888773
Item: ¥ 64,590 【中古】CASIO デジタルカメラ EXILIM EX-ZR1800BK 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/ozHHo3sp7TyJEYgR8iUk4c
Item: ¥ 93,450 【中古】「非常に良い」CASIO デジタルカメラ EXILIM EX-ZR1800BE 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/39gKcAeK84v9LDCiMbvTF6
Item: ¥ 138,320 【中古】CASIO デジタルカメラ EXILIM EX-ZR1800BE 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/m4CGwqk6heX8QipxYc29Bg
Item: ¥ 70,890 【中古】（非常に良い）CASIO デジタルカメラ EXILIM EX-ZR1800BK 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/dT6ewSDhj9FDPRM8cD5E74
Item: ¥ 136,050 【中古】（非常に良い）CASIO デジタルカメラ EXILIM EX-ZR1800GD 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/vcAUiU8L3Ngt5WBzNtYTVK
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
Item:  | URL: 
  >>> 34,225 item NOT found on this search.

Testing all mode (price desc):

--- Mercari URL (all): https://jp.mercari.com/search?keyword=EX-ZR1800&status=on_sale&sort=price&order=desc ---
Total raw items on page: 44
Item: ¥ 138,320 【中古】CASIO デジタルカメラ EXILIM EX-ZR1800BE 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/m4CGwqk6heX8QipxYc29Bg
Item: ¥ 136,050 【中古】（非常に良い）CASIO デジタルカメラ EXILIM EX-ZR1800GD 自分撮り・みんな撮りが簡単 シャッターを押すだけでキレイに撮れる | URL: https://jp.mercari.com/shops/product/vcAUiU8L3Ngt5WBzNtYTVK
Item: ¥ 98,700 ！希少限定品！《新品・未使用》CASIO EXILIM EX-ZR1800 | URL: https://jp.mercari.com/item/m20204802613
